#ASSMT_CD,LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,ACDMC_LVL,SUBGROUP_NAME,TEST_CMPNT_TYP_NM,NUM_TESTED_CNT,BEGIN_CNT,DEVELOPING_CNT,PROFICIENT_CNT,DISTINGUISHED_CNT,BEGIN_PCT,DEVELOPING_PCT,PROFICIENT_PCT,DISTINGUISHED_PCT,Location ZIP [Public School] 2023-24,source_file
EOC,2023-24,761,Atlanta Public Schools,0415,Atlanta Classical Academy,ALL GRADES,Military Connected,US History,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30305,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,ALL GRADES,Non-Migrant,Algebra: Concepts and Connections,29,TFS,TFS,TFS,21,0.0,10.3,17.2,72.4,30316,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1411,B.E.S.T Academy,ALL GRADES,Military Connected,Biology,TFS,TFS,TFS,TFS,TFS,100.0,0.0,0.0,0.0,30318,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,773,City Schools of Decatur,1552,Beacon Hill Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,0.0,100.0,30030,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0182,Benjamin E. Mays High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30331,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0315,Booker T. Washington High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30314,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,1413,Carver High School,ALL GRADES,Foster Care,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30315,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0106,Carver High School Early College,ALL GRADES,Homeless,US History,TFS,TFS,TFS,TFS,TFS,0.0,100.0,0.0,0.0,30315,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,761,Atlanta Public Schools,0199,Centennial Place Academy (Charter),ALL GRADES,Homeless,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30313,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
EOC,2023-24,648,Douglas County,3550,Chapel Hill Middle School,ALL GRADES,Military Connected,Algebra: Concepts and Connections,TFS,TFS,TFS,TFS,TFS,0.0,0.0,100.0,0.0,30034,EOC_2023-24__GA_TST_AGGR_2025-01-14_16_19_30.csv
