sys_sch,systemid,systemname,schoolid,schoolname,amount_19,Federal_Amt_19,State_Local_Amt_19,excluded_19,dist_enroll_19,weight_19,centralcost_19,central_fed_amt_19,central_state_amt_19,Charter_Dist_Allocation_19,Charter_Fed_Dist_Allocation_19,Charter_State_Dist_Allocation_19,total_weighted_cc_19,total_weighted_cc_fed_19,total_weighted_cc_state_19,school_with_cc_19,school_with_cc_fed_19,school_with_cc_state_19,k12_enrollment_19,school_ppe_19,school_ppe_fed_19,school_ppe_sl_19,amount_23,Federal_Amt_23,State_Local_Amt_23,excluded_23,dist_enroll_23,weight_23,centralcost_23,central_fed_amt_23,central_state_amt_23,Charter_Dist_Allocation_23,Charter_Fed_Dist_Allocation_23,Charter_State_Dist_Allocation_23,total_weighted_cc_23,total_weighted_cc_fed_23,total_weighted_cc_state_23,school_with_cc_23,school_with_cc_fed_23,school_with_cc_state_23,k12_enrollment_23,school_ppe_23,school_ppe_fed_23,school_ppe_sl_23,amount_24,Federal_Amt_24,State_Local_Amt_24,excluded_24,dist_enroll_24,weight_24,centralcost_24,central_fed_amt_24,central_state_amt_24,Charter_Dist_Allocation_24,Charter_Fed_Dist_Allocation_24,Charter_State_Dist_Allocation_24,total_weighted_cc_24,total_weighted_cc_fed_24,total_weighted_cc_state_24,school_with_cc_24,school_with_cc_fed_24,school_with_cc_state_24,k12_enrollment_24,school_ppe_24,school_ppe_fed_24,school_ppe_sl_24,schoolyear,single_score_24,single_score_23,singlescore_19,PPE_Avg,State_Local_Exp_PPE_Avg,Federal_Exp_PPE_Avg,SS_Avg,FESR,note,Location ZIP [Public School] 2023-24,source_file
6311050,631,Clayton County,1050,Anderson Elementary School,3794189.94,169085.53,3625104.41,466335.38,53854.0,0.0098999999463558,88519725.58,13159673.88,75360051.7,0.0,0.0,0.0,876345.25,130280.7734375,746064.5,4670535.0,299366.3125,4371169.0,534.0,8746.3203125,560.609985351563,8185.7099609375,4668159.45,368414.33,4299745.12,669240.57,50244.0,0.0094999996945262,229432167.78,80195590.3499999,149236577.43,0.0,0.0,0.0,2179605.5,761858.0625,1417747.5,6847765.0,1130272.375,5717492.5,477.0,14355.900390625,2369.5400390625,11986.3603515625,4970962.75,394397.62,4576565.13,831635.64,48658.0,0.0093000000342726,246082137.86,94488351.9699999,151593785.89,0.0,0.0,0.0,2288564.0,878741.6875,1409822.25,7259527.0,1273139.25,5986387.5,452,16060.900390625,2816.67993164063,13244.2197265625,2024,67.3,62.3,64.4,13054.37,11138.76,1915.61,64.7,2.0,,30288,School_FESR_FY24_for_Display.csv
6605060,660,Fulton County,5060,Asa Hilliard Elementary School,6822381.4,430997.0,6391384.4,731177.63,87514.0,0.0060999998822808,166976381.8,13164729.4,153811652.4,0.0,0.0,0.0,1018555.9375,80304.8515625,938251.0625,7840937.5,511301.84375,7329635.5,537.0,14601.3701171875,952.140014648438,13649.23046875,6890315.95,1028757.09,5861558.86,1452711.89,83128.0,0.0052000000141561,223313189.37,56634970.96,166678218.41,0.0,0.0,0.0,1161228.625,294501.84375,866726.75,8051544.5,1323258.875,6728285.5,430.0,18724.51953125,3077.35009765625,15647.1796875,7493050.7,871074.07,6621976.63,1283976.91,81997.0,0.0048000002279877,304578707.36,70978604.54,233600102.84,0.0,0.0,0.0,1461977.875,340697.3125,1121280.5,8955029.0,1211771.375,7743257.0,391,22902.890625,3099.15991210938,19803.73046875,2024,70.0,62.3,65.6,18742.93,16366.71,2376.22,66.0,1.5,,30344,School_FESR_FY24_for_Display.csv
6443050,644,DeKalb County,3050,Ashford Park Elementary School,3825159.18,638238.58,3186920.6,420480.71,92113.0,0.0065999999642372,310061613.73,27546096.05,282515517.69,0.0,0.0,0.0,2048965.625,181804.234375,1867161.375,5874125.0,820042.8125,5054082.0,609.0,9645.5302734375,1346.5400390625,8298.990234375,6072138.87,448695.78,5623443.09,295151.78,84984.0,0.0078999996185302,415680236.8,66572340.14,349107896.65,0.0,0.0,0.0,3283873.75,525921.4375,2757952.25,9356013.0,974617.1875,8381395.5,675.0,13860.759765625,1443.88000488281,12416.8798828125,6676573.6,675720.32,6000853.28,415206.6,83863.0,0.0083999997004866,475158386.419999,103497330.34,371661056.08,0.0,0.0,0.0,3991330.25,869377.5625,3121952.75,10667904.0,1545097.875,9122806.0,703,15174.830078125,2197.86010742188,12976.9599609375,2024,95.2,94.8,76.6,12893.71,11230.94,1662.76,88.9,3.5,,30319,School_FESR_FY24_for_Display.csv
761415,761,Atlanta Public Schools,415,Atlanta Classical Academy,6626703.16,55352.01,6571351.15,14280083.7,40154.0,0.0165999997407198,189665292.71,16112002.97,173553289.72,204949.58,1711.92,203237.66,235096.109375,1711.92004394531,233384.1875,6861799.0,57063.9296875,6804735.5,667.0,10287.5498046875,85.5500030517578,10202.0,47878889.63,3524548.13,44354341.5,36217628.67,37162.0,0.0182000007480383,317658619.62,69701144.91,247957474.72,1480790.4,109006.64,1371783.76,1592596.0,118605.71875,1473990.25,49471484.0,3643153.75,45828332.0,678.0,72966.7890625,5373.3798828125,67593.40625,13279001.23,1531660.06,11747341.17,20797272.15,37529.0,0.0181000009179115,361642054.67,54006398.81,307635655.84,410690.76,47370.93,363319.83,410690.75,47370.9296875,363319.84375,13689692.0,1579031.0,12110661.0,681,20102.33984375,2318.68994140625,17783.640625,2024,81.6,93.9,82.3,34452.23,31859.68,2592.54,85.9,2.5,,30305,School_FESR_FY24_for_Display.csv
7830410410,7830410,State Charter Schools,410,Atlanta Heights Charter Commission School,8044878.87,659710.31,7385168.56,499279.28,,,,,,0.0,0.0,0.0,,,,8044879.0,659710.3125,7385168.5,759.0,10599.3095703125,869.179992675781,9730.1298828125,10109293.16,1732292.69,8377000.47,1863652.45,,,,,,0.0,0.0,0.0,,,,10109293.0,1732292.75,8377000.5,681.0,14844.7802734375,2543.75,12301.0302734375,12108730.91,2699585.66,9409145.25,888566.12,,,,,,0.0,0.0,0.0,,,,12108731.0,2699585.75,9409145.0,765,15828.41015625,3528.8701171875,12299.5400390625,2024,53.3,71.2,64.1,13757.5,11443.57,2313.93,62.9,2.0,,30331,School_FESR_FY24_for_Display.csv
761505,761,Atlanta Public Schools,505,Atlanta Neighborhood Charter - Elementary,6681855.11,0.0,6681855.11,2622571.36,40154.0,0.0098999999463558,189665292.71,16112002.97,173553289.72,206655.31,0.0,206655.31,212528.546875,159508.828125,212528.546875,6894383.5,159508.828125,6894383.5,396.0,17410.060546875,402.799987792969,17410.060546875,9470538.09,878855.44,8591682.65,0.0,37162.0,0.0105999996885657,317658619.62,69701144.91,247957474.72,292903.24,27181.1,265722.14,292903.25,27181.099609375,265722.125,9763441.0,906036.5625,8857405.0,394.0,24780.310546875,2299.59008789063,22480.720703125,8860340.5,613415.77,8246924.73,6165079.42,37529.0,0.010499999858439,361642054.67,54006398.81,307635655.84,274031.15,18971.62,255059.53,274031.15625,18971.619140625,255059.53125,9134372.0,632387.375,8501984.0,394,23183.689453125,1605.0400390625,21578.640625,2024,87.9,77.6,84.2,21791.35,20489.81,1435.81,83.2,2.5,,30315,School_FESR_FY24_for_Display.csv
761206,761,Atlanta Public Schools,206,Atlanta Neighborhood Charter - Middle,4453042.69,0.0,4453042.69,1772428.85,40154.0,0.0057999999262392,189665292.71,16112002.97,173553289.72,137722.97,0.0,137722.97,137722.96875,93449.6171875,137722.96875,4590765.5,93449.6171875,4590765.5,232.0,19787.779296875,402.799987792969,19787.779296875,5463209.54,484541.0,4978668.54,0.0,37162.0,0.0062000001780688,317658619.62,69701144.91,247957474.72,168965.24,14985.8,153979.44,168965.234375,14985.7998046875,153979.4375,5632175.0,499526.8125,5132648.0,231.0,24381.7109375,2162.44995117188,22219.259765625,5642649.16,539346.42,5103302.74,4221127.69,37529.0,0.0062000001780688,361642054.67,54006398.81,307635655.84,174514.92,16680.82,157834.11,174514.921875,16680.8203125,157834.109375,5817164.0,556027.25,5261137.0,234,24859.6796875,2376.17993164063,22483.490234375,2024,87.1,82.1,78.2,23009.72,21496.84,1647.14,82.5,2.5,,30316,School_FESR_FY24_for_Display.csv
7830627627,7830627,State Charter Schools,627,Atlanta SMART Academy,,,,,,,,,,,,,,,,,,,,,,,3519428.88,888727.51,2630701.37,3204776.8,,,,,,0.0,0.0,0.0,,,,3519429.0,888727.5,2630701.25,209.0,16839.369140625,4252.27978515625,12587.08984375,4057036.82,398846.92,3658189.9,2376099.11,,,,,,0.0,0.0,0.0,,,,4057036.75,398846.90625,3658190.0,213,19047.119140625,1872.52001953125,17174.599609375,2024,75.4,69.1,,,,,,,This school is missing one or more years of PPE or Single Score data,30311,School_FESR_FY24_for_Display.csv
7830632632,7830632,State Charter Schools,632,Atlanta Unbound Academy,,,,,,,,,,,,,,,,,,,,,,,5279774.27,1345949.37,3933824.9,1646794.99,,,,,,0.0,0.0,0.0,,,,5279774.5,1345949.375,3933825.0,241.0,21907.779296875,5584.85009765625,16322.9296875,6738103.22,361537.89,6376565.33,-1283497.62,,,,,,0.0,0.0,0.0,,,,6738103.0,361537.875,6376565.5,190,35463.69921875,1902.82995605469,33560.87109375,2024,48.2,73.4,,,,,,,This school is missing one or more years of PPE or Single Score data,30337,School_FESR_FY24_for_Display.csv
6445050,644,DeKalb County,5050,Avondale Elementary School,4719757.86,262083.0,4457674.86,407745.97,92113.0,0.0043999999761581,310061613.73,27546096.05,282515517.69,0.0,0.0,0.0,1365986.875,121202.8203125,1244784.0,6085744.5,383285.8125,5702458.5,405.0,15026.5302734375,946.380004882813,14080.1396484375,4641243.1,265303.95,4375939.15,2621708.44,84984.0,0.0043000001460313,415680236.8,66572340.14,349107896.65,0.0,0.0,0.0,1787425.125,286261.0625,1501164.0,6428668.0,551565.0,5877103.0,364.0,17661.1796875,1515.2900390625,16145.8896484375,5316242.16,379476.88,4936765.28,762124.74,83863.0,0.0049999998882412,475158386.419999,103497330.34,371661056.08,0.0,0.0,0.0,2375792.0,517486.625,1858305.25,7692034.0,896963.5,6795070.5,423,18184.48046875,2120.47998046875,16064.0,2024,75.4,64.7,73.0,16957.4,15430.01,1527.38,71.0,2.0,,30002,School_FESR_FY24_for_Display.csv
