School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
ANDERSON ELEMENTARY SCHOOL,Georgia,Anderson Elementary School,Clayton County,30288,1-Regular school,2-No,33.640600,-84.333400,Elementary,Prekindergarten,5th Grade,479,429,184,0,429,390,†,27,62,243,236,1,0,200,259,10,1,8,479,14.97
ASA HILLIARD ELEMENTARY SCHOOL,Georgia,Asa Hilliard Elementary School,Fulton County,30344,1-Regular school,2-No,33.664771,-84.478752,Elementary,Prekindergarten,5th Grade,432,432,194,0,432,325,†,41,66,230,202,1,2,48,367,3,0,11,432,10.83
ASHFORD PARK ELEMENTARY SCHOOL,Georgia,Ashford Park Elementary School,DeKalb County,30319,1-Regular school,2-No,33.874340,-84.322021,Elementary,Prekindergarten,5th Grade,725,108,35,8,116,547,†,22,156,360,365,2,55,77,91,435,0,65,725,14.89
ATLANTA CLASSICAL ACADEMY,GEORGIA,Atlanta Classical Academy,Fulton County,30305,1-Regular school,1-Yes,33.843780,-84.407711,Other,Kindergarten,12th Grade,681,96,42,19,115,468,159,†,54,341,340,1,9,52,110,462,1,46,681,11.48
ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,Atlanta Heights Charter School,Fulton County,30331,1-Regular school,1-Yes,33.762973,-84.513714,Elementary,Kindergarten,8th Grade,765,762,454,0,762,670,†,†,95,368,397,1,0,35,676,0,0,53,765,25.25
ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Georgia,Atlanta Neighborhood Charter - Elementary,Fulton County,30315,1-Regular school,1-Yes,33.735700,-84.376100,Elementary,Kindergarten,5th Grade,394,45,20,10,55,330,†,†,64,201,193,0,3,18,74,258,1,40,394,11.76
ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Georgia,Atlanta Neighborhood Charter - Middle,Fulton County,30316,1-Regular school,1-Yes,33.732522,-84.355146,Middle,6th Grade,8th Grade,234,30,12,11,41,234,†,†,†,127,107,0,4,12,48,147,0,23,234,11.58
ATLANTA SMART ACADEMY,GEORGIA,Atlanta SMART Academy,Fulton County,30311,1-Regular school,1-Yes,33.752756,-84.474272,Middle,5th Grade,8th Grade,213,188,88,0,188,213,†,†,†,103,110,0,0,3,200,1,0,9,213,11.51
ATLANTA UNBOUND ACADEMY,GEORGIA,Atlanta Unbound Academy,Fulton County,30337,1-Regular school,1-Yes,33.660719,-84.445933,Elementary,Kindergarten,8th Grade,190,169,79,0,169,166,†,†,24,90,100,0,0,3,184,2,0,1,190,12.67
AVONDALE ELEMENTARY SCHOOL,Georgia,Avondale Elementary School,DeKalb County,30002,1-Regular school,2-No,33.773871,-84.261955,Elementary,Prekindergarten,5th Grade,456,446,160,0,446,349,†,33,74,221,235,1,30,38,298,71,0,18,456,13.73
B.E.S.T ACADEMY,Georgia,B.E.S.T Academy,Fulton County,30318,1-Regular school,2-No,33.788712,-84.479439,High,6th Grade,12th Grade,237,229,81,0,229,104,133,†,†,237,0,0,0,9,225,0,0,3,237,6.58
BARACK AND MICHELLE OBAMA ACADEMY,Georgia,Barack and Michelle Obama Academy,Fulton County,30315,1-Regular school,2-No,33.728200,-84.382700,Elementary,Prekindergarten,5th Grade,269,269,132,0,269,204,†,24,41,134,135,1,4,3,248,10,0,3,269,12.17
BARACK H. OBAMA ELEMENTARY MAGNET SCHOOL OF TECHNOLOGY,GEORGIA,Barack H. Obama Elementary Magnet School of Technology,DeKalb County,30316,1-Regular school,2-No,33.695793,-84.301874,Elementary,Prekindergarten,5th Grade,918,918,410,0,918,710,†,72,136,482,436,10,2,35,839,8,0,24,918,17.49
BAZOLINE E. USHER/COLLIER HEIGHTS ELEMENTARY SCHOOL,Georgia,Bazoline E. Usher/Collier Heights Elementary School,Fulton County,30318,1-Regular school,2-No,33.772500,-84.494000,Elementary,Prekindergarten,5th Grade,405,405,186,0,405,325,†,23,57,218,187,2,1,12,383,3,0,4,405,10.18
BEACON HILL MIDDLE SCHOOL,Georgia,Beacon Hill Middle School,DeKalb County,30030,1-Regular school,2-No,33.768100,-84.299000,Middle,6th Grade,8th Grade,1322,213,184,6,219,1322,†,†,†,676,646,1,60,60,240,841,0,120,1322,12.91
BEECHER HILLS ELEMENTARY SCHOOL,Georgia,Beecher Hills Elementary School,Fulton County,30311,1-Regular school,2-No,33.735900,-84.463500,Elementary,Prekindergarten,5th Grade,252,201,78,0,201,197,†,21,34,130,122,0,0,8,238,2,0,4,252,9.73
BENJAMIN E. MAYS HIGH SCHOOL,Georgia,Benjamin E. Mays High School,Fulton County,30331,1-Regular school,2-No,33.733900,-84.503800,High,9th Grade,12th Grade,1363,1126,474,0,1126,†,1363,†,†,675,688,2,0,93,1255,1,0,12,1363,12.17
BENTEEN ELEMENTARY SCHOOL,Georgia,Benteen Elementary School,Fulton County,30315,1-Regular school,2-No,33.716430,-84.364398,Elementary,Prekindergarten,5th Grade,306,259,68,0,259,234,†,37,35,164,142,2,0,90,140,50,1,23,306,9.27
BOB MATHIS ELEMENTARY SCHOOL,Georgia,Bob Mathis Elementary School,DeKalb County,30034,1-Regular school,2-No,33.689684,-84.240834,Elementary,Prekindergarten,5th Grade,354,354,147,0,354,269,†,29,56,189,165,1,5,30,301,3,0,14,354,10.99
BOLTON ACADEMY ELEMENTARY,Georgia,Bolton Academy Elementary,Fulton County,30318,1-Regular school,2-No,33.817400,-84.455300,Elementary,Prekindergarten,5th Grade,557,191,73,35,226,412,†,66,79,275,282,0,15,127,244,132,1,38,557,13.23
BOOKER T. WASHINGTON HIGH SCHOOL,GEORGIA,Booker T. Washington High School,Fulton County,30314,1-Regular school,2-No,33.753637,-84.420896,High,9th Grade,12th Grade,859,838,394,0,838,†,859,†,†,408,451,2,0,24,813,5,1,14,859,14.34
BRIAR VISTA ELEMENTARY SCHOOL,Georgia,Briar Vista Elementary School,DeKalb County,30324,1-Regular school,2-No,33.810100,-84.338300,Elementary,Prekindergarten,5th Grade,469,255,94,28,283,340,†,47,82,245,224,1,41,128,184,86,8,21,469,13.71
BRIARLAKE ELEMENTARY SCHOOL,Georgia,Briarlake Elementary School,DeKalb County,30033,1-Regular school,2-No,33.839200,-84.269200,Elementary,Prekindergarten,5th Grade,376,148,54,15,163,296,†,23,57,185,191,1,22,73,89,159,1,31,376,10.87
