#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","601","Appling County","0103","Appling County High School","ALL Subjects","38","39","19"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Eng. Language & Comp","11","11","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","601","Appling County","0103","Appling County High School","Psychology","15","15","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","601","Appling County","ALL","All Schools","ALL Subjects","38","39","19"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Computer Science Principles","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Eng. Language & Comp","11","11","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2023-24","DISTRICT","601","Appling County","ALL","All Schools","Psychology","15","15","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","602","Atkinson County","0103","Atkinson County High School","ALL Subjects","27","27","TFS"
"AP COUNTS","2023-24","SCHOOL","602","Atkinson County","0103","Atkinson County High School","Eng. Literature & Comp","27","27","TFS"
"AP COUNTS","2023-24","DISTRICT ALL SUBJECTS","602","Atkinson County","ALL","All Schools","ALL Subjects","27","27","TFS"
"AP COUNTS","2023-24","DISTRICT","602","Atkinson County","ALL","All Schools","Eng. Literature & Comp","27","27","TFS"
"AP COUNTS","2023-24","SCHOOL ALL SUBJECTS","603","Bacon County","0302","Bacon County High School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2023-24","SCHOOL","603","Bacon County","0302","Bacon County High School","Music Theory","TFS","TFS","TFS"
