School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
7 PILLARS CAREER ACADEMY,GEORGIA,7 Pillars Career Academy,Clayton County,30297,1-Regular school,1-Yes,33.638685,-84.371427,Middle,6th Grade,10th Grade,271,196,196,0,196,185,86,†,†,142,129,2,0,21,239,4,0,5,271,19.36
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,A.L. Burruss Elementary School,Cobb County,30064,1-Regular school,2-No,33.943400,-84.578100,Elementary,Prekindergarten,5th Grade,388,188,73,25,213,302,†,6,80,185,203,1,6,93,127,129,0,32,388,10.08
AARON COHN MIDDLE SCHOOL,Georgia,Aaron Cohn Middle School,Muscogee County,31820,1-Regular school,2-No,32.550143,-84.824682,Middle,6th Grade,8th Grade,549,198,92,45,243,549,†,†,†,274,275,1,12,57,253,167,0,59,549,17.43
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,Aaron Cohn Regional Youth Detention Center,Muscogee County,31820,4-Alternative Education School,2-No,32.527150,-84.852240,High,5th Grade,12th Grade,17,14,14,0,14,5,12,†,†,17,0,0,0,1,13,3,0,0,17,4.36
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,Abbotts Hill Elementary School,Fulton County,30097,1-Regular school,2-No,34.056200,-84.196400,Elementary,Prekindergarten,5th Grade,559,88,22,7,95,488,†,5,66,256,303,1,182,72,73,192,0,39,559,13.63
ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,Academy For Classical Education,Bibb County,31210,1-Regular school,1-Yes,32.939286,-83.727915,Other,Kindergarten,12th Grade,1808,300,3,0,300,1156,512,†,140,863,945,2,160,60,288,1244,3,51,1808,13.41
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,Academy of Richmond County High School,Richmond County,30904,1-Regular school,2-No,33.474000,-82.005400,High,9th Grade,12th Grade,1175,688,408,0,688,†,1175,†,†,596,579,8,7,85,830,180,16,49,1175,12.24
ACWORTH INTERMEDIATE SCHOOL,Georgia,Acworth Intermediate School,Cobb County,30101,1-Regular school,2-No,34.057700,-84.653200,Elementary,2nd Grade,5th Grade,505,334,110,49,383,505,†,0,†,245,260,2,4,155,160,136,0,48,505,10.86
ADAIRSVILLE ELEMENTARY SCHOOL,Georgia,Adairsville Elementary School,Bartow County,30103,1-Regular school,2-No,34.369388,-84.937980,Elementary,Prekindergarten,5th Grade,908,457,135,91,548,681,†,90,137,482,426,0,4,93,56,691,0,64,908,15.99
ADAIRSVILLE HIGH SCHOOL,Georgia,Adairsville High School,Bartow County,30103,1-Regular school,2-No,34.339757,-84.916887,High,9th Grade,12th Grade,1233,575,184,109,684,†,1233,†,†,653,580,1,10,121,68,980,1,52,1233,18.00
