sys_sch,systemid,systemname,schoolid,schoolname,amount_19,Federal_Amt_19,State_Local_Amt_19,excluded_19,dist_enroll_19,weight_19,centralcost_19,central_fed_amt_19,central_state_amt_19,Charter_Dist_Allocation_19,Charter_Fed_Dist_Allocation_19,Charter_State_Dist_Allocation_19,total_weighted_cc_19,total_weighted_cc_fed_19,total_weighted_cc_state_19,school_with_cc_19,school_with_cc_fed_19,school_with_cc_state_19,k12_enrollment_19,school_ppe_19,school_ppe_fed_19,school_ppe_sl_19,amount_23,Federal_Amt_23,State_Local_Amt_23,excluded_23,dist_enroll_23,weight_23,centralcost_23,central_fed_amt_23,central_state_amt_23,Charter_Dist_Allocation_23,Charter_Fed_Dist_Allocation_23,Charter_State_Dist_Allocation_23,total_weighted_cc_23,total_weighted_cc_fed_23,total_weighted_cc_state_23,school_with_cc_23,school_with_cc_fed_23,school_with_cc_state_23,k12_enrollment_23,school_ppe_23,school_ppe_fed_23,school_ppe_sl_23,amount_24,Federal_Amt_24,State_Local_Amt_24,excluded_24,dist_enroll_24,weight_24,centralcost_24,central_fed_amt_24,central_state_amt_24,Charter_Dist_Allocation_24,Charter_Fed_Dist_Allocation_24,Charter_State_Dist_Allocation_24,total_weighted_cc_24,total_weighted_cc_fed_24,total_weighted_cc_state_24,school_with_cc_24,school_with_cc_fed_24,school_with_cc_state_24,k12_enrollment_24,school_ppe_24,school_ppe_fed_24,school_ppe_sl_24,schoolyear,single_score_24,single_score_23,singlescore_19,PPE_Avg,State_Local_Exp_PPE_Avg,Federal_Exp_PPE_Avg,SS_Avg,FESR,note
726208,726,Spalding County,208,AZ Kelsey Academy,1713741.1,43843.86,1669897.24,9454.84,9847,0.00370000000111759,27781195.7,4581875.98,23199319.72,0,0,0,104087.7578125,16959.33203125,87128.4296875,1817828.875,60803.19140625,1757025.75,36,50495.25,1688.97998046875,48806.26953125,1864129.61,500577.5,1363552.11,0,9081,0.0020000000949949,40943645.19,9715543.95,31228101.24,0,0,0,81887.421875,19431.208984375,62456.20703125,1946017,520008.71875,1426008.375,18,108112.046875,28889.369140625,79222.6875,2127351.49,251803.09,1875548.4,0,8882,0.0031999999191612,42861712.37,11842451.96,31019260.41,0,0,0,137157.46875,37895.84375,99261.6328125,2264509,289698.9375,1974810,28,80875.3203125,10346.3896484375,70528.9296875,2024,,,35.7,79827.54,66185.96,13641.58,,,This school is missing one or more years of PPE or Single Score data
667708,667,Gwinnett County,708,Oakland Meadow School,11070523.57,873966.34,10196557.23,224786.51,177611,0.000300000014249235,246406368.94,15612572.7,230793796.25,0,0,0,77520.2265625,5768.1669921875,71752.0546875,11148043,879734.5,10268309,57,195579.703125,15433.9404296875,180145.765625,11645376.47,601512.76,11043863.71,334978.18,179696,0.000300000014249235,372162694.65,93338744.72,278823949.93,0,0,0,111648.8125,28001.625,83647.1875,11757025,629514.375,11127511,45,261267.21875,13989.2099609375,247278.015625,12338583.41,288523.71,12050059.7,362041.59,179892,0.000300000014249235,369587289.45,74505766.31,295081523.14,0,0,0,110876.1953125,22351.73046875,88524.4609375,12449460,310875.4375,12138584,51,244107.0625,6095.60009765625,238011.453125,2024,,,,233651.33,221811.74,11839.58,,,This school is missing one or more years of PPE or Single Score data
629104,629,Clarke County,104,Classic City High School,1477097.7,90717.8,1386379.9,10075.99,12595,0.00600000005215406,27392933.66,6663304.78,20729628.88,0,0,0,164357.609375,39979.828125,124377.7734375,1641455.25,130697.625,1510757.625,76,21598.099609375,1719.7099609375,19878.390625,1474963.65,419681.01,1055282.64,6407.82,11516,0.00209999992512167,55405961.2,15327817.72,40078143.48,0,0,0,116352.515625,32188.416015625,84164.1015625,1591316.125,451869.4375,1139446.75,24,66304.84375,18827.890625,47476.94921875,1633545.23,433736.61,1199808.62,118705.16,11528,0.00540000014007092,65270573.9900001,11628888.42,53641685.57,0,0,0,352461.09375,62796,289665.125,1986006.375,496532.625,1489473.75,62,32032.359375,8008.58984375,24023.76953125,2024,27.3,,43.1,39978.43,30459.7,9518.73,,,This school is missing one or more years of PPE or Single Score data
6445016,644,DeKalb County,5016,Coralwood Education Center,2589622.28,436747.63,2152874.65,1598353.71,92113,0.000899999984540045,310061613.73,27546096.05,282515517.69,0,0,0,279375.3125,24791.486328125,254583.84375,2868997.75,461539.125,2407458.5,79,36316.4296875,5842.27001953125,30474.16015625,4089328.24,323639.98,3765688.26,2313830.59,84984,0.0007999999797903,415680236.8,66572340.14,349107896.65,0,0,0,332544.1875,53257.87109375,279286.3125,4421872.5,376897.84375,4044974.5,66,66998.0703125,5710.56982421875,61287.48828125,4474262.76,718030.04,3756232.72,1134560.22,83863,0.0007999999797903,475158386.419999,103497330.34,371661056.08,0,0,0,380126.6875,82797.859375,297328.84375,4854389.5,800827.875,4053561.5,64,75849.84375,12512.9404296875,63336.8984375,2024,,,,59721.45,51699.52,8021.93,,,This school is missing one or more years of PPE or Single Score data
7820110110,7820110,State Charter Schools,110,Odyssey School,4233607.2,1341168.86,2892438.34,-7550000.56,,,,,,0,0,0,,,,4233607,1341168.875,2892438.25,351,12061.5595703125,3820.98999023438,8240.5595703125,4317428.56,3082971.91,1234456.65,7176643.12,,,,,,0,0,0,,,,4317428.5,3082972,1234456.625,339,12735.7802734375,9094.3095703125,3641.46997070313,6506158.13,2802476.91,3703681.22,8398754.95,,,,,,0,0,0,,,,6506158,2802477,3703681.25,368,17679.779296875,7615.43017578125,10064.349609375,2024,68.7,75.6,77.7,14159.04,7315.46,6843.58,74,2.5,
630204,630,Clay County,204,Clay County Elementary,1453113.97,116234.21,1336879.76,532525.57,184,0.662999987602234,990952.36,252062.16,738890.2,0,0,0,657001.375,167117.203125,489884.1875,2110115.25,283351.40625,1826764,122,17296.029296875,2322.55004882813,14973.48046875,2207262.35,542990.32,1664272.03,1358789.26,180,0.655600011348724,2013540.99,873094.71,1140446.28,0,0,0,1320077.5,572400.875,747676.625,3527339.75,1115391.25,2411948.75,118,29892.7109375,9452.4697265625,20440.240234375,2425449.36,370212.53,2055236.83,575498.11,187,0.732599973678589,2365158.51,1100773.45,1264385.06,0,0,0,1732715,806426.625,926288.4375,4158164.25,1176639.125,2981525.25,137,30351.560546875,8588.6103515625,21762.9609375,2024,76,75,63.3,25846.77,19058.89,6787.88,71.4,2,
630104,630,Clay County,104,Clay County Middle School,918183.6,68311.95,849871.65,15248.51,184,0.337000012397766,990952.36,252062.16,738890.2,0,0,0,333950.96875,84944.953125,249006,1252134.625,153256.90625,1098877.625,62,20195.720703125,2471.88989257813,17723.830078125,1068210.29,222729.25,845481.04,28435.83,180,0.344399988651276,2013540.99,873094.71,1140446.28,0,0,0,693463.5,300693.8125,392769.6875,1761673.75,523423.0625,1238250.75,62,28414.08984375,8442.3095703125,19971.7890625,1055223.98,140340.46,914883.52,31207.73,187,0.267399996519089,2365158.51,1100773.45,1264385.06,0,0,0,632443.375,294346.8125,338096.5625,1687667.375,434687.28125,1252980.125,50,33753.3515625,8693.75,25059.599609375,2024,81.7,64.3,76.5,27454.39,20918.41,6535.98,74.2,2,
731102,731,Taliaferro County,102,Taliaferro County School,2820456.98,496638.69,2323818.29,394079.38,162,1,1766143.28,565691.56,1200451.72,0,0,0,1766143.25,565691.5625,1200451.75,4586600,1062330.25,3524270,162,28312.349609375,6557.58984375,21754.75,3617730.25,716325.37,2901404.88,667179.74,174,1,1384676.41,130441.42,1254234.99,0,0,0,1384676.375,130441.421875,1254235,5002406.5,846766.8125,4155640,174,28749.4609375,4866.47998046875,23882.990234375,3828943.22,910258.829999999,2918684.39,574079.72,177,1,1491425.36,157168.52,1334256.84,0,0,0,1491425.375,157168.515625,1334256.875,5320368.5,1067427.375,4252941.5,177,30058.580078125,6030.66015625,24027.919921875,2024,75.1,63.3,66.1,29040.13,23221.89,5818.24,68.2,1.5,
759197,759,Worth County,197,Worth County Achievement Center,394006.01,1692.28,392313.73,0,3070,0.0137000000104308,3444135.54,246731.04,3197404.5,0,0,0,47184.65625,3380.21533203125,43804.44140625,441190.65625,5072.4951171875,436118.15625,42,10504.5400390625,120.769996643066,10383.76953125,647353.77,204550.37,442803.4,0,2964,0.0071000000461936,4397422.64,1578274.8,2819147.84,0,0,0,31221.701171875,11205.7509765625,20015.94921875,678575.5,215756.125,462819.34375,21,32313.119140625,10274.099609375,22039.01953125,648165.21,169411.68,478753.53,0,2911,0.00960000045597553,4878825.56,1436229.77,3442595.79,0,0,0,46836.7265625,13787.806640625,33048.921875,695001.9375,183199.484375,511802.4375,28,24821.5,6542.83984375,18278.66015625,2024,,,,22546.39,16900.48,5645.9,,,This school is missing one or more years of PPE or Single Score data
728192,728,Stewart County,192,Stewart County Elementary School,2464331.42,299127.32,2165204.1,671629.45,425,0.468199998140335,1539609.26,265279.4,1274329.86,0,0,0,720845.0625,124203.8125,596641.25,3185176.5,423331.125,2761845.25,199,16005.91015625,2127.2900390625,13878.6201171875,2638759.12,693949.4,1944809.72,746202.52,384,0.440100014209747,2068663.2,650178,1418485.2,0,0,0,910418.6875,286143.34375,624275.375,3549177.75,980092.75,2569085,169,21001.05078125,5799.3701171875,15201.6904296875,2910468.96,659559.21,2250909.75,830130.72,345,0.400000005960464,2309016,695726.31,1613289.69,0,0,0,923606.4375,278290.53125,645315.875,3834075.5,937849.75,2896225.75,138,27783.16015625,6796.009765625,20987.140625,2024,70.5,54.1,72.6,21596.71,16689.15,4907.56,65.7,1.5,
